INDEX,PID,SMILES,Polymer_x,Mn,Mw,PDI,PDI (zw),Temperature,Shear_Rate,Frequency,Intrinsic Viscosity (dL/g),Melt_Viscosity,Source,Link,index,Num_Samples,Polymer_y,__fingerprint_success__,afp_C3_C3_C3,afp_C3_C3_C4,afp_C3_C3_H1,afp_C3_C3_O1,afp_C3_C3_O2,afp_C3_C3_S2,afp_C3_C3_S4,afp_C3_C4_C4,afp_C3_C4_H1,afp_C3_C4_O2,afp_C3_O2_C3,afp_C3_O2_C4,afp_C3_O2_H1,afp_C3_S2_C3,afp_C3_S4_C3,afp_C3_S4_O1,afp_C4_C3_H1,afp_C4_C3_O1,afp_C4_C3_O2,afp_C4_C4_C4,afp_C4_C4_F1,afp_C4_C4_H1,afp_C4_C4_O2,afp_C4_C4_Si4,afp_C4_O2_C4,afp_C4_Si4_C4,afp_C4_Si4_O2,afp_F1_C4_F1,afp_H1_C4_H1,afp_H1_C4_O2,afp_H1_C4_Si4,afp_O1_C3_O2,afp_O1_S4_O1,afp_O2_Si4_O2,afp_Si4_C4_Si4,afp_Si4_O2_Si4,bfp_101,bfp_112,bfp_113,bfp_114,bfp_145,bfp_197,bfp_198,bfp_199,bfp_208,bfp_209,bfp_218,bfp_22,bfp_222,bfp_23,bfp_248,bfp_249,bfp_267,bfp_282,bfp_289,bfp_294,bfp_295,bfp_299,bfp_3,bfp_304,bfp_305,bfp_311,bfp_314,bfp_315,bfp_316,bfp_328,bfp_334,bfp_340,bfp_342,bfp_343,bfp_348,bfp_349,bfp_350,bfp_354,bfp_355,bfp_359,bfp_360,bfp_361,bfp_375,bfp_423,bfp_424,bfp_426,bfp_428,bfp_430,bfp_448,bfp_451,bfp_458,bfp_461,bfp_464,bfp_481,bfp_483,bfp_510,bfp_58,bfp_81,bfp_85,bfp_99,efp_3v_main,efp_3v_side,efp_4v_main,efp_4v_side,efp_fam_acrylate,efp_fam_ketone,efp_fam_single,efp_main_chain_rel,efp_main_chain_ring,efp_norm_mol_wt,efp_numatoms_none_H,efp_ring,efp_ring_dist_shortest,efp_side_chain_abs,mfp_Chi0n,mfp_Chi0v,mfp_Chi1n,mfp_Chi1v,mfp_Chi2n,mfp_Chi2v,mfp_MQNs13,mfp_MQNs14,mfp_MQNs15,mfp_MQNs16,mfp_MQNs17,mfp_MQNs18,mfp_MQNs19,mfp_MQNs20,mfp_MQNs21,mfp_MQNs22,mfp_MQNs23,mfp_MQNs24,mfp_MQNs25,mfp_MQNs26,mfp_MQNs27,mfp_MQNs28,mfp_MQNs29,mfp_MQNs30,mfp_MQNs31,mfp_MQNs32,mfp_MQNs33,mfp_MQNs34,mfp_MQNs35,mfp_MQNs36,mfp_MQNs37,mfp_MQNs38,mfp_MQNs39,mfp_MQNs40,mfp_MQNs41,mfp_MQNs42,mfp_NumAliphaticRings,mfp_NumAromaticRings,mfp_tpsa
0,P010001,[*]CC([*])C,poly(prop-1-ene),2600,3900,1.5,,200,0,,,0.5,"Sauer, Bryan B.; Dipaolo, Nicholas V. , Journal of Colloid and Interface Science , 144 , 2 , 527-537 (1991)",Polymer Database: PoLyInfo (nims.go.jp),0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P010001,[*]CC([*])C,poly(prop-1-ene),7834.101382,17000,2.17,,200,0,,,5,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,P010001,[*]CC([*])C,poly(prop-1-ene),31981.98198,71000,2.22,,200,0,,,130,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P010001,[*]CC([*])C,poly(prop-1-ene),43829.78723,103000,2.35,,200,0,,,500,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,P010001,[*]CC([*])C,poly(prop-1-ene),75757.57576,250000,3.3,,200,0,,,6000,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,P010001,[*]CC([*])C,poly(prop-1-ene),180357.1429,1010000,5.6,,200,0,,,500000,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,P010002,[*]CC([*])C,poly(prop-1-ene),54000,260000,4.814814815,,230,0,,,1054,"Utracki, L. A.; Sammut, P. , Plastics, Rubber and Composites Processing and Applications , 16 , 4 , 221-229 (1991)",Polymer Database: PoLyInfo (nims.go.jp),0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,P010002,[*]CC([*])C,polypropylene,,669?000,,,180,0,,,184388.6844,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,P010002,[*]CC([*])C,polypropylene,,604?000,,,180,0,,,187381.7423,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,P010002,[*]CC([*])C,polypropylene,,565?000,,,180,0,,,238573.5965,,,0,7,poly(prop-1-ene),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,1.111111111,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.333333333,0,0,0,0,1.333333333,0,0,0,0.222222222,0,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.222222222,0,0.389638889,0.333333333,0,0,0,0.833333333,0.166666667,0.416666667,0.083333333,0.055555556,0.055555556,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
