INDEX,Y,Y_prediction,Y_uncertainties,Mw,Temperature,Shear_Rate,mfp_Chi0n,mfp_Chi0v,mfp_Chi1n,mfp_Chi1v,mfp_Chi2n,mfp_Chi2v,mfp_MQNs13,mfp_MQNs14,mfp_MQNs15,mfp_MQNs16,mfp_MQNs17,mfp_MQNs18,mfp_MQNs19,mfp_MQNs20,mfp_MQNs21,mfp_MQNs22,mfp_MQNs23,mfp_MQNs24,mfp_MQNs25,mfp_MQNs26,mfp_MQNs27,mfp_MQNs28,mfp_MQNs29,mfp_MQNs30,mfp_MQNs31,mfp_MQNs32,mfp_MQNs33,mfp_MQNs34,mfp_MQNs35,mfp_MQNs36,mfp_MQNs37,mfp_MQNs38,mfp_MQNs39,mfp_MQNs40,mfp_MQNs41,mfp_MQNs42,mfp_NumAliphaticRings,mfp_NumAromaticRings,mfp_tpsa,afp_C2_C4_C4,afp_C2_C4_H1,afp_C3_C3_C3,afp_C3_C3_C4,afp_C3_C3_H1,afp_C3_C3_O1,afp_C3_C3_O2,afp_C3_C3_S2,afp_C3_C3_S4,afp_C3_C4_C3,afp_C3_C4_C4,afp_C3_C4_H1,afp_C3_C4_O2,afp_C3_N3_C4,afp_C3_N3_H1,afp_C3_O2_C3,afp_C3_O2_C4,afp_C3_O2_H1,afp_C3_S2_C3,afp_C3_S4_C3,afp_C3_S4_O1,afp_C4_C2_N1,afp_C4_C3_H1,afp_C4_C3_N3,afp_C4_C3_O1,afp_C4_C3_O2,afp_C4_C4_C4,afp_C4_C4_F1,afp_C4_C4_H1,afp_C4_C4_N3,afp_C4_C4_O2,afp_C4_C4_Si4,afp_C4_N3_H1,afp_C4_O2_C4,afp_C4_Si4_C4,afp_C4_Si4_O2,afp_F1_C4_F1,afp_H1_C4_H1,afp_H1_C4_N3,afp_H1_C4_O2,afp_H1_C4_Si4,afp_N3_C3_O1,afp_O1_C3_O2,afp_O1_S4_O1,afp_O2_C3_O2,afp_O2_Si4_O2,afp_Si4_C4_Si4,afp_Si4_O2_Si4,efp_3v_main,efp_3v_side,efp_4v_main,efp_4v_side,efp_fam_acrylate,efp_fam_carbonateester,efp_fam_ketone,efp_fam_polyamides,efp_fam_single,efp_main_chain_rel,efp_main_chain_ring,efp_norm_mol_wt,efp_numatoms_none_H,efp_ring,efp_ring_dist_shortest,efp_side_chain_abs,bfp_101,bfp_112,bfp_113,bfp_114,bfp_145,bfp_197,bfp_198,bfp_199,bfp_208,bfp_209,bfp_215,bfp_218,bfp_22,bfp_222,bfp_223,bfp_225,bfp_23,bfp_248,bfp_249,bfp_267,bfp_282,bfp_289,bfp_294,bfp_295,bfp_299,bfp_3,bfp_304,bfp_305,bfp_311,bfp_312,bfp_313,bfp_314,bfp_315,bfp_316,bfp_328,bfp_334,bfp_340,bfp_342,bfp_343,bfp_344,bfp_348,bfp_349,bfp_350,bfp_354,bfp_355,bfp_359,bfp_360,bfp_361,bfp_375,bfp_379,bfp_386,bfp_398,bfp_423,bfp_424,bfp_426,bfp_428,bfp_430,bfp_448,bfp_451,bfp_458,bfp_461,bfp_464,bfp_481,bfp_483,bfp_510,bfp_58,bfp_78,bfp_81,bfp_85,bfp_98,bfp_99
590,3.35347432,3.450243495,0.292800081,72000,220,2071.629357,0.754433105,0.221099772,0.374158162,0.107491496,0.084301303,0.084301303,0.933333333,0.066666667,0,0,0,0,0.333333333,0.266666667,0.133333333,0,0,0,0,0.066666667,0.066666667,0.066666667,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438333333,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0.066666667,0.066666667,0.266666667,0,0.466666667,0,0,0,0,0,0,0,0,0.466666667,0,0.2,0,0,0.066666667,0,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0.133333333,0,0.556205556,0.466666667,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.533333333,0,0.2,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.533333333,0.133333333,0,0,0,0,0.533333333,0,0.066666667,0.066666667,0.333333333,0.066666667,0.066666667,0,0,0,0,0,0.6,0.733333333,0.866666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,5.668463612,6.018080291,0.257304359,30400,200,157.3588568,0.703780148,0.279537723,0.364261234,0.152140022,0.109465831,0.109465831,0.666666667,0.03030303,0,0.181818182,0.181818182,0,0.181818182,0.181818182,0.090909091,0,0,0,0,0.03030303,0.060606061,0.03030303,0.090909091,0,0.363636364,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0.060606061,0.269166667,0,0,0.363636364,0.121212121,0.484848485,0,0.121212121,0,0,0.03030303,0.121212121,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0.181818182,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0.060606061,0,0.03030303,0,0,0,0.083333333,0,0.083333333,0,1,1,0,0,0,0.363636364,0.666666667,0.642133838,0.575757576,0.631578947,0.333333333,0,0,0,0,0.666666667,0.606060606,0,0,0,0,0,0,0,0,0.363636364,0,0,0,0,0.151515152,0.242424242,0,0,0,0,0,0,0.545454545,0,0,0,0,0.484848485,0,0,0,0.242424242,0.060606061,0,0.727272727,0,0,0.424242424,0,0.060606061,0.03030303,0.484848485,0.03030303,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787878788,0,0,0.727272727,0
139,1.660852012,1.635799572,0.298345814,3540,140,0,0.75,0.25,0.390625,0.140625,0.09375,0.09375,0.6875,0,0,0.1875,0.1875,0,0.1875,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0.375,0.125,0.625,0,0,0,0,0,0.125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0.125,0,0.542458333,0.5,0.75,0.2,0.666666667,0,0.6875,0.6875,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0.25,0.1875,0,0,0,1.8125,0.75,0,0,0,0,0.625,0.125,0,0,0.375,0,0,0.75,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8125,0,0,0,0,0
183,4.602059991,4.756838604,0.933314866,106700,210,0,0.754433105,0.221099772,0.374158162,0.107491496,0.084301303,0.084301303,0.933333333,0.066666667,0,0,0,0,0.333333333,0.266666667,0.133333333,0,0,0,0,0.066666667,0.066666667,0.066666667,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438333333,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0.066666667,0.066666667,0.266666667,0,0.466666667,0,0,0,0,0,0,0,0,0.466666667,0,0.2,0,0,0.066666667,0,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0.133333333,0,0.556205556,0.466666667,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.533333333,0,0.2,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.533333333,0.133333333,0,0,0,0,0.533333333,0,0.066666667,0.066666667,0.333333333,0.066666667,0.066666667,0,0,0,0,0,0.6,0.733333333,0.866666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3.846955325,4.887135977,1.046178441,167000,200,0,0.833333333,0.166666667,0.416666667,0.083333333,0.072916667,0.072916667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.833333333,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.166666667,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.666666667,0,0.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,5.602059991,5.72322612,0.412374343,110000,190,0,0.833333333,0.166666667,0.416666667,0.083333333,0.041666667,0.041666667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,3.752456757,3.491958652,0.589570433,32374.3321,217,0,0.833333333,0.166666667,0.416666667,0.083333333,0.072916667,0.072916667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.833333333,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.166666667,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.666666667,0,0.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5.5774918,5.292147446,0.33324342,330000,175,0,0.833333333,0.166666667,0.416666667,0.083333333,0.072916667,0.072916667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.833333333,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.166666667,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.666666667,0,0.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,7.071882007,7.053086369,3.558286515,1010000,175,0,0.833333333,0.166666667,0.416666667,0.083333333,0.072916667,0.072916667,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.833333333,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.166666667,0,0.389638889,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.666666667,0,0.25,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,6.229110512,6.07514935,0.255414845,30400,200,0.964841463,0.703780148,0.279537723,0.364261234,0.152140022,0.109465831,0.109465831,0.666666667,0.03030303,0,0.181818182,0.181818182,0,0.181818182,0.181818182,0.090909091,0,0,0,0,0.03030303,0.060606061,0.03030303,0.090909091,0,0.363636364,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0.060606061,0.269166667,0,0,0.363636364,0.121212121,0.484848485,0,0.121212121,0,0,0.03030303,0.121212121,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0.181818182,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0.060606061,0,0.03030303,0,0,0,0.083333333,0,0.083333333,0,1,1,0,0,0,0.363636364,0.666666667,0.642133838,0.575757576,0.631578947,0.333333333,0,0,0,0,0.666666667,0.606060606,0,0,0,0,0,0,0,0,0.363636364,0,0,0,0,0.151515152,0.242424242,0,0,0,0,0,0,0.545454545,0,0,0,0,0.484848485,0,0,0,0.242424242,0.060606061,0,0.727272727,0,0,0.424242424,0,0.060606061,0.03030303,0.484848485,0.03030303,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787878788,0,0,0.727272727,0
